Requirement ID,Requirement Name,Status,Comments
"REQ-001","Time Zone Configuration","Accurate",""
"REQ-002","Finance Line Hours of Operation","Accurate",""
"REQ-003","Customer Service Line Hours of Operation","Accurate",""
"REQ-004","Customer Service Line Catch-All Function","Accurate",""
"REQ-005","Finance Line Call Flow Sequence","Accurate",""
"REQ-006","Finance Line Emergency Broadcast Behavior","Accurate",""
"REQ-007","Finance Line Holiday Routing","Accurate",""
"REQ-008","Finance Line Temporary Closure Routing","Accurate",""
"REQ-009","Finance Line Hours Check Routing","Accurate",""
"REQ-010","Customer Service Line Call Flow Sequence","Accurate",""
"REQ-011","Customer Service Line Emergency Broadcast Behavior","Accurate",""
"REQ-012","Customer Service Line Holiday Routing","Accurate",""
"REQ-013","Customer Service Line Temporary Closure Routing","Accurate",""
"REQ-014","Customer Service Line Hours Check","Accurate",""
"REQ-015","Customer Service IVR Menu Options","Accurate",""
"REQ-016","IVR Menu Error Handling - Retry Logic","Accurate",""
"REQ-017","IVR Menu Routing - Press 1 Finance","Accurate",""
"REQ-018","IVR Menu Routing - Press 2 Place Order","Accurate",""
"REQ-019","IVR Menu Routing - Press 3 Questions","Accurate",""
"REQ-020","Emergency Broadcast Internal Access Number","Accurate",""
"REQ-021","Emergency Broadcast Activation Interface","Accurate",""
"REQ-022","Emergency Broadcast Active Behavior","Accurate",""
"REQ-023","Emergency Broadcast Inactive Behavior","Accurate",""
"REQ-024","Emergency Broadcast Message Management","Accurate","Question -- REQ-020 states there will be an unpublished number for this. Can I record a message by calling in on that number? I would likely activate it online, but in the event of a power or internet outage, it'd be nice to be able to call in and record from there. If not, no worries, we almost never use this feature."
"REQ-025","Emergency Broadcast Administrator Training","Accurate",""
"REQ-026","Holiday Schedule Configuration","Accurate","Holidays for 2026: 1/1/2026 New Year’s Day, 1/19/2026 MLK Day, 4/3/2026 Good Friday, 5/25/2026	Memorial Day, 7/3/2026	Independence Day (July 4th on Saturday), 9/7/2026 Labor Day, 11/26/2026 Thanksgiving Day, 11/27/2026 Day After Thanksgiving, 12/24/2026	Christmas Eve, 12/25/2026 Christmas Day. Please note that these actual days vary from year to year (2 days off at Thanksgiving, 2 days off at Christmas ... plus, there may be a day that Customer Service works a holiday that Finance doesn't (like Good Friday). I'm sure we'll be shown how to set these up year to year.
"
"REQ-027","Holiday Call Flow - Finance Line","Accurate",""
"REQ-028","Holiday Call Flow - Customer Service Line","Accurate",""
"REQ-029","Holiday Voicemail Processing","Accurate",""
"REQ-030","Temporary Closure Scheduling","Accurate",""
"REQ-031","Temporary Closure Use Cases","Accurate",""
"REQ-032","Temporary Closure Message Customization","Accurate",""
"REQ-034","Temporary Closure Activation Controls","Accurate",""
"REQ-033","Temporary Closure Active Call Flow","Accurate",""
